Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
70 - 79,Other family member,,1 - 2 years,Yes,12,45,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,,,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Good,Strongly disagree,Neutral,Neutral,Neutral,Strongly agree,45,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,3 - 5 years,Yes,60,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,Support groups,,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Agree,Agree,Agree,Agree,Agree,Below average,Neutral,Neutral,Agree,Agree,Neutral,40,Full-time employed,,,,,,,,,,,,
20 - 29,Parent,,3 - 5 years,No,10,35,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,,,,,,Depression,,Agree,Strongly agree,Neutral,Agree,Disagree,Neutral,Average,Agree,Strongly disagree,Agree,Agree,Agree,35,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,14,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,,,Accommodation from my employer,,,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,I need more help but don鈥檛 want to ask,,,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Good,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,15,40,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Good,Disagree,Disagree,Agree,Disagree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,25,40,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Below average,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
50 - 59,Parent,,Less than a year,No,4,32,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree,Below average,Agree,Agree,Strongly agree,Disagree,Agree,32,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,15,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Below average,Neutral,Strongly agree,Neutral,Disagree,Neutral,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,3 - 5 years,Yes,50,0,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,,,Financial strain,,,Depression,,Strongly agree,Agree,Agree,Agree,Agree,Agree,Poor,Agree,Agree,Agree,Strongly agree,Strongly agree,0,Retired,,,,,,,,,,,,
70 - 79,Friend/Neighbor,,1 - 2 years,No,20,30,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,30,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,22,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund",,,,,No,,,,Support groups,,,Support from my loved one鈥檚 physicians,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Agree,Agree,Neutral,Agree,Agree,Agree,Average,Agree,Neutral,Agree,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,20,40,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Average,Neutral,Agree,Disagree,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,15,40,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,Individual counseling to help cope with giving care,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,,,,,Neutral,Agree,Disagree,Disagree,Agree,Strongly agree,Average,Agree,Disagree,Strongly disagree,Neutral,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,40,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,Yes,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Agree,Disagree,Neutral,Agree,Agree,Average,Disagree,Disagree,Disagree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,5,40,"They live with me, or another caregiver",,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,Depression,,Strongly agree,Agree,Disagree,Neutral,Disagree,Agree,Below average,Strongly agree,Neutral,Agree,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,Over 5 years,No,8,32,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,,,,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,32,Part-time employed,,,,,,,,,,,,
90+,Spouse/Partner,,Over 5 years,Yes,30,0,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,,Transportation from children,None of the above,,,,,,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Good,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,0,Retired,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,Yes,40,0,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,,,Financial support,,,,,Emotional stress,,,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Below average,Disagree,Strongly agree,Agree,Disagree,Disagree,0,Retired,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,25,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,Depression,,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Poor,Strongly disagree,Agree,Neutral,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Friend/Neighbor,,Over 5 years,No,12,30,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,volunteer services/religious services,No,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,,Individual counseling to help cope with giving care,,,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Good,Neutral,Strongly disagree,Disagree,Neutral,Agree,30,Part-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,10,40,"In a home or apartment, with family or a roommate",,,Family contributions,,,,Long-term care insurance,,No,,,,,,,,Financial support,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,20,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,1 - 2 years,Yes,40,40,"They live with me, or another caregiver",,All the care they receive is free or donated,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,Long-term care insurance,,Yes,,"Classes about giving care, such as giving medications",Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,Financial support,Accommodation from my employer,,,,,,Support groups,,,,,,,,Physical demands,,,,,,I need more help but don鈥檛 want to ask,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Good,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,Less than a year,No,15,50,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Poor,Strongly agree,Agree,Agree,Disagree,Agree,50,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,Over 5 years,No,10,25,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,"Classes about giving care, such as giving medications",,,,,,Financial support,,,,,,,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,,,Disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Good,Strongly disagree,Strongly disagree,Neutral,Neutral,Agree,25,Part-time employed,,,,,,,,,,,,
